feature,wasserstein_distance
AS,0.30611149271735244
AF,0.24303184992047494
SUB,0.2361409349258743
NC,0.21765718028089887
SN,0.21079104208777444
BC,0.20509985451938192
PF,0.1830801219066209
NP,0.1460875071335484
ADD,0.14162898923997244
CA,0.13661743437182877
NS,0.12225906230631267
DM,0.09577988370895847
